accession	strain
MF160138	USA/KY/2014-20462
MF422531	61216-2814
MF422532	61217-2276
MH118023	17-1936-1_A10
MH118033	17-2579-1
MH118034	17-2548-1
MH118035	17-2249-2
MH118036	17-1656-1
MH118037	17-1573-2
MH118038	17-1537-1
MH118039	17-118-2
MH118040	16-2922-1
MH118041	16-2871-1
MH118042	15-3903-1
MH118043	15-3857-2
MH118044	13-2357-1
MH118045	13-2185-1
MH118046	13-1897-1
MH118047	13-1779-1
MH118048	13-1754-2
MH118049	13-1512-1
MH118050	13-1473-2
MH118051	13-1281-2
MH118052	13-078-1
MH118053	12-4616-1
MH118054	12-2067-2
MH118055	12-145-2
MH118056	11-972-1
MH118057	11-964-1
MH118058	11-863-1
MH118059	11-862-1
MH118060	11-691-1
MH118061	11-670-1
MH118062	11-4057-2
MH118063	11-4056-2
MH118064	11-363-2
MH118065	11-3293-2
MH118066	11-3186-1
MH118067	11-2017-1
MH118068	11-1828-1
MH118069	11-1525-1
MH118070	11-1415-1
MH118071	11-1208-1
MH118072	10-923-1
MH118073	10-4214-1
MH118074	10-381-2
MH118075	10-3749-1
MH118076	10-3445-2
MH118077	10-3432-2
MH118078	10-3408-2
MH118079	10-2792-1
MH118080	10-2565-1
MH118081	10-2064-1
MH118082	10-1989-1
MH118083	10-1183-1
MH118084	09-3318-1
MH118085	09-2093-1
MH118086	09-207-1
MH118087	09-1996-1
MH118088	09-1895-1
MH118089	09-1701-1
MH118090	09-1677-1
MH144590	15-2711-1
MH144591	11-4519-1
MH144592	13-2591-2
MH144593	17-2007-2
MH144594	17-2233-1
MH144595	11-759-2
MH144596	13-002-1
MH144597	17-2255-1_A10
MH144599	13-2380-2_A10
MH144603	13-2053-1_A10
MH491141	E455/SuZhou/2012
MH491142	E462/SuZhou/2012
MH491143	B0149/WuXi/2013
MH491144	B0157/WuXi/2013
MK301475	R6-19/XY/CHN/2017
MK301476	V6-19/XY/CHN/2017-P1
MK301477	V6-19/XY/CHN/2017-P5
MK301478	V6-19/XY/CHN/2017-P10
MK301479	V6-19/XY/CHN/2017-P15
MK836124	USA/CO/2018-23139
MK836134	USA/CO/2018-23149
MN540987	CV-A10/SWG19/SD/CHN/2018
MN540992	CV-A10/SWG24/SD/CHN/2018
MN541017	CV-A10/SWG49/SD/CHN/2018
MN557275	V6-19/XY/CHN/2017
MN557276	V4-9/XY/CHN/2017
MN557277	R6-26/XY/CHN/2017
MN557278	KA48/YN/CHN/2015
MN557279	K136/YN/CHN/2013
MN557280	K624/YN/CHN/2013
MN557281	R09191/YN/CHN/2009
MN557282	R103/YN/CHN/2015
MN557283	K975/YN/CHN/2010
MN557284	K1554/YN/CHN/2015
MN557285	K6-12/XY/CHN/2017
MN557286	K6-18/XY/CHN/2017
MN557287	K1-2/XY/CHN/2017
MN557288	K4-15/XY/CHN/2017
MN642090	CVA10-4
MN642091	CVA10-TZ3-P5
MT263729	CV-A10-HB09-035
MT347977	USA/2014-23299
MT350221	CA10/JX2545/2017
MT394552	NPEV/CA10/JX57-1/2013
MT394553	NPEV/CA10/JX57-2/2013
MT394554	NPEV/CA10/JX113-1/2016
MT394555	NPEV/CA10/JX113-2/2016
MT641416	CLI-B3-29-CV-A10
MT641419	CLI-B3-35-CV-A10
MT641421	CLI-B3-40-CV-A10
MT641427	CLI-B3-49-CV-A10
MT641441	CLI-B3-67-CV-A10
MT822170	Hu/MOZ/2017/CVA10/ZB 1502
MW731905	CVA10/human/Germany/LE-A40CGB3/2014
MW731906	CVA10/human/Germany/LE-A41KCK7/2014
MW731907	CVA10/human/Germany/LE-A42XFB5/2014
MW731908	CVA10/human/Germany/LE-A42DKE9/2014
MW731909	CVA10/human/Germany/LE-A61FDF6/2016
MW731910	CVA10/human/Germany/LE-A61HHK4/2016
MW731911	CVA10/human/Germany/LE-A62BXE5/2016
MW731912	CVA10/human/Germany/LE-A62BDA0/2016
MW731913	CVA10/human/Germany/LE-A62HHF5/2016
OK635685	CVA10-210044443402-FRA-2021
OK635686	CVA10-210044721502-FRA-2021
OR828446	CA10/S145/2019/China
PD498970	PD498970
X87591	M.K. (Kowalik)
